K=200 T=1.0
T=1.0
Clustering x.shape=(116269, 162)
('Original shape:', (116269, 162))
Clustering into 200 categories ...
Initialization complete
Iteration 119, inertia 304.716
Iteration 120, inertia 304.715
Iteration 121, inertia 304.714
Iteration 122, inertia 304.714
Iteration 123, inertia 304.713
Iteration 124, inertia 304.712
Iteration 125, inertia 304.711
Iteration 126, inertia 304.711
Iteration 127, inertia 304.711
Iteration 128, inertia 304.710
Iteration 129, inertia 304.710
Iteration 130, inertia 304.710
Iteration 131, inertia 304.710
Iteration 132, inertia 304.710
Iteration 133, inertia 304.710
Iteration 134, inertia 304.710
Iteration 135, inertia 304.710
Iteration 136, inertia 304.710
Iteration 137, inertia 304.710
Iteration 138, inertia 304.709
Converged at iteration 138
Initialization complete
Iteration  0, inertia 446.883
Iteration  1, inertia 321.775
Iteration  2, inertia 314.662
Iteration  3, inertia 311.860
Iteration  4, inertia 310.393
Iteration  5, inertia 309.450
Iteration  6, inertia 308.767
Iteration  7, inertia 308.240
Iteration  8, inertia 307.821
Iteration  9, inertia 307.501
Iteration 10, inertia 307.252
Iteration 11, inertia 307.056
Iteration 12, inertia 306.888
Iteration 13, inertia 306.745
Iteration 14, inertia 306.615
Iteration 15, inertia 306.495
Iteration 16, inertia 306.391
Iteration 17, inertia 306.293
Iteration 18, inertia 306.200
Iteration 19, inertia 306.113
Iteration 20, inertia 306.029
Iteration 21, inertia 305.951
Iteration 22, inertia 305.881
Iteration 23, inertia 305.819
Iteration 24, inertia 305.762
Iteration 25, inertia 305.710
Iteration 26, inertia 305.659
Iteration 27, inertia 305.612
Iteration 28, inertia 305.569
Iteration 29, inertia 305.526
Iteration 30, inertia 305.486
Iteration 31, inertia 305.447
Iteration 32, inertia 305.412
Iteration 33, inertia 305.378
Iteration 34, inertia 305.347
Iteration 35, inertia 305.317
Iteration 36, inertia 305.290
Iteration 37, inertia 305.264
Iteration 38, inertia 305.242
Iteration 39, inertia 305.221
Iteration 40, inertia 305.202
Iteration 41, inertia 305.183
Iteration 42, inertia 305.164
Iteration 43, inertia 305.148
Iteration 44, inertia 305.131
Iteration 45, inertia 305.119
